Date,PRME,INDU,CONS,ENRS,HLTH,INFT,UTIL,TELS,FINA,EE,RETA,SP500,LL100
1/1/2016,,,,,,,,,,,,,1804.77
1/2/2016,,,,,,,,,,,,,1805
1/3/2016,,,,,,,,,,,,,1805.22
1/4/2016,105.17,456.94,511.68,447.75,817.31,710.26,219.41,149.15,496.61,1122.35,5078.66,2012.660034,1805.36
1/5/2016,104.16,457.88,515.27,450.01,821.87,707.25,221.14,150.61,498.27,1113.63,5109.47,2016.709961,1806.97
1/6/2016,106.63,451.17,513.58,433.71,815.03,698.2,220.72,148,490.58,1089.51,5014.27,1990.26001,1808.2
1/7/2016,112.01,438.56,507.05,423.45,798.32,676.27,219.16,146.13,476.75,1048.87,4985.94,1943.089966,1805.99
1/8/2016,109,434.1,503.22,417.77,786.82,670.88,219.12,145.45,469.28,1034.01,4838.64,1922.030029,1808.03
1/9/2016,,,,,,,,,,,,,1808.26
1/10/2016,,,,,,,,,,,,,1808.49
1/11/2016,104.35,434.43,508,409.02,777.48,675.09,220.44,146.6,470.94,1026.08,4857.42,1923.670044,1808.85
1/12/2016,101.4,437.58,510.27,410.55,786.72,683.49,219.36,146.01,473.57,1040.71,4895.07,1938.680054,1808.66
1/13/2016,102.17,427.44,501.4,403.26,763.65,664.42,219.35,144.28,461.23,1008.81,4739,1890.280029,1808.12
1/14/2016,98.51,433.03,503.75,421.3,784.07,677.84,222.64,146.82,465.96,1015.01,4741.82,1921.839966,1803.92
1/15/2016,98.53,424.82,495.72,409.2,773.21,656.49,220.66,145.22,455.01,990.09,4659.69,1880.329956,1801.88
1/16/2016,,,,,,,,,,,,,1802.1
1/17/2016,,,,,,,,,,,,,1802.32
1/18/2016,,,,,,,,,,,,,1802.55
1/19/2016,93.35,424.88,501.84,400.32,772.49,656.05,223.94,146.94,454.86,974.9,4615.51,1881.329956,1799.87
1/20/2016,95.71,419.13,494.55,388.58,774.11,651.82,218.81,144.58,445.28,972.28,4639.25,1859.329956,1792.97
1/21/2016,96.84,421.43,496.61,399.79,772.05,654,218.81,148.07,443.99,965.68,4685.76,1868.98999,1790.48
1/22/2016,97.78,424.64,504.68,417.03,784.03,672.35,222.63,151.58,452.65,990.7,4761.7,1906.900024,1793.27
1/23/2016,,,,,,,,,,,,,1793.5
1/24/2016,,,,,,,,,,,,,1793.72
1/25/2016,100.78,419.3,500.66,398.19,776.63,663.14,220.68,151.08,442.3,964.21,4675.15,1877.079956,1794.51
1/26/2016,105.53,426.95,505.22,413.24,782.73,669.13,222.35,153.99,450.16,988.83,4778.97,1903.630005,1794.51
1/27/2016,107.89,422.28,504.69,410.61,774.11,652.64,222.78,155.27,448.45,978,4722.46,1882.949951,1795.48
1/28/2016,106.19,424.84,509.92,423.56,756.28,662.3,226.38,155.36,448.87,981.74,4712.64,1893.359985,1795.99
1/29/2016,109.06,436.62,520.74,434.67,769.48,686.16,230.77,158.12,461.84,1017.98,4845.16,1940.23999,1796.36
